id,label,mentions
R31,After,4903
R0,All attempts at artificial cultivation of have as yet failed to give,4622
R53,After Treatment,2475
R88,Cause (alleged,1678
R17,Allowed to die,1543
R1,1st Class Vaccinators,1524
R15,Aggregate Mortality of,1507
R107,are accomplished by,1463
R73,Effect on,1318
R57,Abstract of,1224
R_NOISE_f8068814a3f300cd,caused by,1117
R19,Accelerated promotion period from Captain to Major,1109
R48,Date of inoculation,1099
R2,Animal has diarrhœa and has been steadily losing weight,1095
R76,Part Used,1071
R6,Casualties during the year,1042
R11,(TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF,1036
R_NOISE_1efedc75aafcf229,due to,1012
R176,Attendance,976
R54,Comparative Value of,961
R290,Admitted into,961
R12,. Still in the same precarious state ; there has been some,882
R35,Previous Employment of,871
R3,"All water since May has been tested daily for poisons at Razani,",867
R235,Source of produce,867
R433,Property,854
R38,Apparatus for Athletic Club worth Rs were purchased during the year,833
R131,Description of,815
R23,Decrease,777
R40,Due to severe outbreak of,765
R8,Containing less than per cent,760
R77,Habitat,754
R18,Disease,748
R7,Action of the Alkaloids of the Papaveraceae upon the isolated Frog s,746
R5,Artificial pupil formed,740
R4,"2nd class After years service in the 3rd class, subject to having",738
R27,It is most prevalent in,724
R113,Is available for,721
R144,Against,720
R14,Act to provide for the better prevention of the spread of,694
R_NOISE_01c7ed68f5597062,includes,688
R_NOISE_caeb909ae4ff4ee2,contains,682
R9,11/2 hands breadth below costal margin,651
R41,Infection duration,636
R111,Received from,624
R200,admitted already suffering from,623
R42,) District excluding Municipal towns,618
R_NOISE_8cae131d9aa2e44f,caused,607
R13,Bhang is also used for the treatment of cattle disease,598
R34,Habitually excessive smokers are from the mendicant classes,585
R273,Showing,585
R10,1st Lactation (6139 lb,584
R21,1) Prepare the disinfecting solutions to be used during the day,584
R33,As each patient was removed,571
R401,Acted as member of,571
R_NOISE_54ee86ea642c828a,associated with,564
R28,Duration of hospital life,546
R228,-charge of,541
R50,Block areas,539
R450,Mixed_with,538
R_NOISE_6b28a1dfebec76a2,inspected,532
R252,Administered,515
R25,Blood examination of the person infected,510
R16,Annual Reports of the Civil Veterinary Department,503
R108,Attack,488
R43,Improved but absconded before completion of treatment,480
R20,221/2 hours after admission ; a mixed case of plague and relapsing,471
R83,Degree of protection afforded by,470
R44,Condition much improved,464
R24,Intact with,461
R22,Ague,458
R139,Central Registration District,453
R32,Anti-Rinderpest SerumSpecial Preventive Anti-Anthrax Serum Anti-Hæmorrhagic Septicæmia Serum,442
R82,Excellent,441
R125,Alcoho ic insanity (acute nr chronic,439
R26,Absent or very small in amount and not showing organic structure,434
R153,a well developed condition,426
R89,Cost of,424
R37,Heavy mortalities were recorded in,413
R58,) Recovered,412
R29,Acetate of lead ... Powdered ginger,409
R30,/ 4th do,402
R265,Prepared,401
R36,Age of serum is,393
R191,Heterologous Ocular Transplantation as a Practical Test for,392
R84,All cured,392
R_NOISE_85d72cb875cd70c0,had,387
R285,Outcome,385
R66,Greater concentrations of,384
R106,Cases of,382
R39,-Indian,381
R193,Symptoms,380
R46,"- pox was prevalent in the city and bazaars, yet only one",380
R63,130; irregular,377
R109,Cholerastricken pilgrims from,375
R74,account for the falling-off in work,375
R45,Appointment and constitution of the Committee,369
R444,additional have been examined,368
R158,-rate,361
R354,DUE TO THE FACT THAT,359
R225,Injected into,356
R56,Cholera Attacks and Deaths,343
R294,Covered by,333
R204,Investigation Officer,330
R297,are regularly by turn sent out for,329
R47,5μ from the anterior end,327
R142,Annual Entry,324
R51,) regeneration of the ovarian tissue,319
R104,As required lbs,315
R60,Free for weeks in March 1898; one in December 1898; and for,314
R116,Destruction of,312
R165,Spread,312
R220,able to feed themselves,312
R160,Opened,311
R55,Attack lasted hours,311
R141,Spread by direct personal infection,306
R52,Died on the 6th day peritonitis,304
R126,Reduced,303
R257,also consume,299
R80,-breeding,298
R67,Additional Commissioned and Non-commissioned Medical Officers,297
R49,"Compared to inches rainfall in Assam, the average in this part is",297
R69,6-oz. doses twice a day till bowels are freely opened,295
R59,Treatment of diseases in villages,295
R81,Infection of children per cent,294
R110,Enlargement of,293
R93,Due to epidemic of,290
R71,Diseases of the urinary and generative system,289
R62,2s,288
R65,. the alimentary canal of,285
R173,Has adhesion to,283
R245,Constable attends daily to see if there are any fresh admissions from,282
R223,Replacement of,282
R68,. v. o. will only inspect and express an opinion on a,280
R87,"He had been more than seven years in the asylum, and for",278
R101,Free,276
R211,As required,276
R79,Observations on the Poison of,275
R249,Hay s operation,274
R61,Extending from slightly posterior to,273
R_NOISE_27e90dfa57c358ac,at,273
R163,Due to ordinary fluctuation,271
R221,Clinical Diagnostics,271
R_NOISE_bad25a78f7ebccc9,taken from,269
R102,Ditto lost,267
R64,5th October to 29th November,266
R99,Culture in,262
R90,active for days when dried at,261
R121,ability to grow at,260
R72,439) is due to the absence of a vaccinator at Gangaw during,259
R114,"Serum protein fractions of normal and vitamin A, calcium and phosphorus deficient",258
R_NOISE_43eef9a62abb8b1e,for,257
R190,Malutenanee Fuud for paying patients,257
R_NOISE_db3d405b10675998,on,256
R368,Addition to,256
R357,Discharged,255
R70,1/10th of a cc,255
R287,Due to the prevalence of,252
R85,-arm method,252
R78,Adult Fowls with,252
R227,Absence of cross-,252
R100,Changes in,251
R95,Either eat or drink bhang,250
R98,Bad,247
R75,House searches,246
R96,Condition of spleen,245
R122,Alcohol,244
R_NOISE_f7539b0ae191eb43,attributed to,241
R103,Discourage funeral or marriage feasts,241
R94,Complicated with pneumonia,241
R112,Lugols solution was tried,238
R136,Shaken at room temperature from a.m. to p.m,237
R234,accompanied by breaking down,237
R97,Eastern at Rs. per mensem,232
R140,; while Pyapo n district returned the very satisfactory increase of cases,231
R91,Comparative immunity of,229
R86,B. Coli communis found in,226
R130,Instruction course,224
R429,actively motile and isolated,223
R293,act as carriers,223
R118,Death robbed the Province of those of,220
R115,affects the masses more than the wealthy,219
R298,advocate the introduction of,218
R370,Held at,218
R147,Balfour s Manual of Botany,215
R152,As for fig,215
R219,1st Prize,213
R182,affects on the system sooner than,212
R146,5) Take smears from the spleen and see that the slides are,212
R404,Castrated,212
R186,Severe,211
R105,Effect of Temperature on Size,210
R128,All continued to eat earth at irregular periods,204
R279,Mr. Aitchison was on tour for days,204
R92,2nd Lactation (4135 lb,203
R150,"Free pratique is granted to healthy vessels after satisfactory medical inspection, disinfection",201
R119,Central Jail located in,201
R270,Control of,200
R172,Crystal violet stained showing,199
R239,Return of,199
R_NOISE_9a1510c42d391f55,resulted in,199
R253,Suffering from,197
R_NOISE_c7f276cb3c755040,showed,197
R179,Riding has been encouraged for two reasons,195
R154,Cost of dieting each in-door patient,194
R359,all under,194
R216,Difference between,192
R120,One week s supply,192
R175,Director returned from leave,189
R134,First record of this parasite from,189
R149,Department was placed directly under the control of Government,188
R168,"Chaudhry Ghulam Qadir, Marketing Officer, was appointed Superintendent in an officiating capacity",188
R123,Bivalve Mollusks,188
R145,Further Experiments on the Treatment of Surra with,186
R138,1st April to,184
R_NOISE_d3ecb0d890368d76,include,184
R233,Admissions-rate per of Strength,184
R117,British India Steam Navigation Company have also promised to convey horses from,183
R137,Amount of Dysphagia,182
R332,absorb,181
R189,DUE TO,179
R124,Hospital to date fully a half more than in previous year,179
R162,Civil Dispensary,179
R127,All the hill-bulls were inoculated subcutaneously each with c.c. of per cent,178
R129,. Bombay,178
R262,Lab_value,177
R_NOISE_ff87cea4a48b7734,have,176
R195,"8.18, 9.64, and grms of nitrogen per day or 5.45, and grms",176
R164,Casualty Roll of Donkey Stallions,176
R188,Fatal Stage after an acute course,176
R132,Bag Silage,175
R296,Dosage,175
R178,Best Student for,174
R170,Act conferring powers under,174
R156,Collection of semen from,174
R135,Issues of calf lymph in paste were experimentally made from the Lucknow,173
R133,Chief Malaria Medical Officer,172
R_NOISE_951f120ff31d9ffa,followed by,169
R157,Allowed to graze within the limits of the camp,168
R155,- - - - - i b. grunthal,167
R391,Note its similarity with,167
R143,Dose of dried goat spleen vaccine,164
R237,Asylum has escaped,164
R269,Time required for inspection,164
R185,General appearance and physique of the men,164
R197,acts as a pleasant work,163
R184,18th December to 31st December was in charge of the institution,162
R329,Extending as far as,162
R210,Special dangers,162
R159,Assistant Surgeon at,161
R151,3) Assist at the arranging and counting of the rats,160
R161,"C.C. of the, solution, or an equivalent of somewhat more than a",160
R169,Described as wavy and stout,160
R231,Largest number of admissions during any week and on any particular day,160
R167,Appearance of the droplets of serus exudate at the site soon after,159
R_NOISE_a8ebfdc22ac4af86,leads to,159
R207,Clinical_event for venereal diseases,159
R_NOISE_30e2ea381ff94fbc,consists of,157
R148,I do not think it is the best possible for the native,157
R174,Moisture is found to be essential for the hatching of these eggs,156
R181,Diseases of the cutaneous system,155
R_NOISE_c8173be51aa0954b,travelled,155
R194,Closure of,155
R166,Action of Caffeine on the capacity for muscular work,154
R229,Congested,151
R203,"Outbreaks occurred in all the districts in the Magwe Sub-Circle (Magwe, Minbu,",151
R218,Myxœdema,150
R232,Attendance stationary; marked increase in operations; accommodation much improved,150
R177,Congenital syphilis,149
R255,about and times more susceptible than,148
R206,Age,148
R171,Fully coagulated and separated ; reaction strongly acid,147
R236,First in,147
R199,As much as twelve hundred rupees has been offered for a promising,146
R208,Observations on the Poison of Russell s Viper (Daboia Russellii,144
R320,Success in,144
R266,Is the subject of experimental treatment by means of,142
R309,Injected Subcutaneously,142
R202,addicted to a certain extent to,142
R192,Admixture of tobacco with ganja and sweetmeats with halwa modify intoxicating power,142
R183,AND OTHER MOSQUITOES IN KARACHI,141
R390,Color of,141
R303,He travelled miles by rail and miles by road,140
R198,... ... ... ... ... ... ... ... ... females,140
R_NOISE_4e265221f5d82405,part of,139
R180,8a or 9d,139
R209,Ajmer town is in a very insanitary condition,138
R362,Infusion of,138
R214,Anthrax,137
R224,-breaking in order to commit offences punishable with death or transportation for,137
R413,Principal causes of sickness,136
R240,Cost of medicines and instruments and disinfectants,135
R247,allowed to lie broadcast over the land,135
R212,Causes of decrease in primary vaccinations,135
R259,1st day c.c ars. ac. sol,134
R_NOISE_794ad1aad63c2843,is a,133
R238,Class,131
R187,Had been in Assam less than years,131
R436,Distribution of,130
R205,Did not take quinine regularly,130
R260,Measure on an average from to μ in diameter,128
R251,Effect of different products of normal digestion and accessory substances on the,128
R217,Demonstration at the All-Union Agricultural Show of result of Applying Artificial Insemination,127
R244,"R. could hardly be felt, small, very weak and thready",127
R_NOISE_c46727de9009ef3c,consisted of,127
R274,Good state of health on admission,126
R272,Positive,126
R213,abundant and rare,126
R196,abundant and cheap in the Poona bazaars,125
R261,Extensive disquamation and ulceration with hâemorrhage,125
R201,Afghanistan is a strong narcotic,125
R250,Chlorides,123
R230,Disease of Heart.,122
R276,added to the duties,121
R286,able to talk a little,121
R396,almost succumbed to,121
R271,"European insanes were treated, without any deaths",121
R302,Contagious disease,120
R443,Branded fillies,120
R222,Minute tubercles on,119
R372,Military Inspector of the stud branch exercises a supernumerary command over all,119
R241,Antigen . Injected . Total amount c.c. Duration in d a y,119
R392,advantage over,118
R459,METHODS,118
R215,accentuates effects of cold,117
R264,Negative in all specimens,117
R314,Fair,117
R345,almost complete,116
R258,Inheritance of Resistance of Mice to Enteric Bacterial and Neurotropic Virus Infections,116
R263,Annual Report on the working of the Glanders and Farcy Act in,116
R355,Proportion of overseers to,115
R_NOISE_85468c60084143cb,given to,115
R311,Annual Statement No. I,115
R440,Showing the group average of,115
R226,"a diffuse red colour, with generally mulberry-coloured (hâemorrhagic) spots",114
R299,Was above the average,114
R246,-door patients admitted,112
R275,Admitted sick,112
R242,25th to 27th February,111
R384,Pay. Rs,110
R374,are much practised,110
R367,Examination for,110
R333,Attendance stationary; operations increased,110
R_NOISE_cce3815c67f5f66d,patients admitted into,110
R_NOISE_c89add65baa7f86f,contained,110
