id,label,mentions
E0,- general,11595
E2,"1,442.7 infants per mille of the available infant population were successfully vaccinated during the year",7786
E49,A plague hospital,5701
E16,Autopsies were made on,5025
E25,"1/21st Regiment, Rangoon",4761
E45,Abyssinia,4640
E53,- disease,4521
E5,2nd grade Veterinary Assistant,4230
E14,All animals,4216
E13,A malner,4133
E7,- salt solution,4021
E70,A dengue patient,3656
E24,1-1000 dilutions of blood-sera,3333
E61,Bengal round ganja,3330
E101,A. ward,3290
E1,(W. L,3269
E3,Agra-Meerut,3237
E4,Absent,3023
E8,- pargan,2904
E19,B.W.F. corpuscles,2734
E37,317) Gangrene of the lungs,2668
E10,African grass,2644
E17,Acute Enteritis,2621
E158,Admission and Discharge Book,2486
E86,Binary fission Single or two parasites in a cell,2484
E47,/ years,2479
E20,(35.25 per cent) had reduction times of min. and over,2468
E98,13-1 deaths from small-pox,2367
E22,- water supply,2246
E12,(d,2236
E15,(c,2214
E105,A case,2180
E71,(1 c. c.) doses of virulent rinderpest blood,2156
E32,1st Class,2141
E30,/ chittak,2129
E9,(birbutia,2095
E6,2nd nagpada kamathlpura,2074
E21,Algerian cattle,2032
E41,- subcutaneous,1990
E11,"1) Hoplocephalus curtus, (2) Echis carinata, (3) Trimeresurus gramineus and (4) Crotalus adamanteus",1948
E177,Bhang,1938
E141,Artificial Insemination Centre,1919
E67,Anti-Malarial Operations at Mian Mir,1919
E31,A Medical Inspector,1870
E81,Baby Week celebrations,1808
E107,Criminal Lunatics,1777
E39,1st Sind Horse,1760
E64,Abscess of Liver (multiple,1749
E65,. . . Do. chronic . . . . . . Diarrhœa . . . . . .,1720
E187,- men,1716
E27,Argyle Road,1651
E35,4th and 5th hind tarsal segments,1641
E33,24hour culture of streptococci,1612
E_NOISE_65a9a60191efd0fa,patients,1602
E40,C. L. ovary,1585
E_NOISE_a159cdb85f6fa619,insanity,1557
E50,- bulls,1548
E26,- j,1540
E59,- two,1454
E18,(sampati,1424
E80,/ bred calves,1408
E90,",, Gained weight",1362
E51,- milk stage,1348
E131,Contagious Disease Act was in operation,1313
E55,- goat,1286
E166,/ females,1285
E54,Abbotta ba d dispensary,1266
E23,(3 c.c.) doses,1260
E29,(28 fatal,1254
E75,Air temperature,1238
E43,48s clothing,1237
E123,- day,1204
E63,Chronic Urethritis,1203
E36,- tined grubber,1175
E34,- west,1145
E69,Glycerinated chloroform lymph,1136
E42,", N",1131
E44,16th generation Assam culture,1115
E56,Agency Tracts,1112
E89,Aqa qi ya,1103
E113,. grammes fresh fixed virus,1060
E57,- mouth disease,1038
E28,- tar,1035
E74,Cyclone,1025
E66,American Consul General in Calcutta,1020
E46,- oil,1019
E167,- anthrax,1013
E83,Brain,999
E62,- v - g,993
E77,- cow,990
E137,Drug,977
E127,Cost of each Successful Case,967
E148,Antibiotics,964
E48,A dark room,925
E156,Faecal examinations for worms,925
E99,Afghanistan,910
E68,- angled,905
E160,Clinical pathology,898
E96,Anaplasma marginale Theiler,891
E85,"Anthrax, Hæmorrhagic Septicæmia and Blackquarter",884
E106,Buffalo No.,883
E79,Angina Pectoris,877
E_NOISE_ab044fc74c79cf1c,lesions,875
E97,- venom,872
E93,- barred ventilator,869
E52,(4 fatal,827
E73,1st Company Native Artillery,813
E87,"Anti-Tuberculosis Clinic, Bhagalpur",811
E151,Cerebral Syphilis,806
E82,- nucleotidase,803
E108,Aden ulcers,794
E121,- blackquarter serum,786
E58,(5 c.c.) doses,780
E94,- mould,761
E115,M. rattus,752
E110,- water-supply and drain village sites,750
E125,Avitaminosis A,739
E_NOISE_11f34cf710d8b7c9,Rs.,720
E_NOISE_75277074f92ccf46,contagious diseases,712
E91,1st class wheat,704
E149,- smoking,698
E124,Both districts,695
E136,A donkey stallion,682
E76,01: terebinthinæ,676
E130,66-10-1 per head of inmates,671
E84,(lachrama,669
E78,Abbe refractometer,667
E88,- houses,666
E143,. grms. nitrogen absorbed,646
E122,Entally hospital,643
E150,All other intoxicants,637
E117,. cc. sheep erythrocytes,626
E119,A. stephensi,625
E157,Annual Lock Hospital Report,609
E134,Anti-fly emulsion,602
E116,"175,000,000 sperm resistant to cold",601
E100,"10,000of oppulation",597
E72,- eight of an inch,582
E60,/ / x /,582
E38,(96.7 per cent,580
E109,Burnett s disinfecting fluid,576
E147,- months,575
E132,- drinking,571
E102,Accessory glands,570
E190,Chinese insane,568
E_NOISE_ab3ccc8dba2a0cf7,people,566
E92,48-hour-old slant cultures of the strains,563
E_NOISE_d777c4965aaeb0dc,mania,552
E120,Bheesties,551
