Topic,topic_size,Name,Representation,Representative_Docs,top_terms
0,23682,0_of_the_to_in,"['of', 'the', 'to', 'in', 'and', 'at', 'all', 'veterinary', '2nd', 'from']","['A dengue patient All Attempts At Artificial Cultivation Of Have As Yet Failed To Give cc. A dengue patient All Attempts At Artificial Cultivation Of Have As Yet Failed To Give cc. A dengue patient All Attempts At Artificial Cultivation Of Have As Yet Failed To Give cc. A dengue patient All Attempts At Artificial Cultivation Of Have As Yet Failed To Give cc. A dengue patient All Attempts At Artificial Cultivation Of Have As Yet Failed To Give cc. A dengue patient All Attempts At Artificial Cultivation Of Have As Yet Failed To Give cc. A dengue patient All Attempts At Artificial Cultivation Of Have As Yet Failed To Give cc. general Taken From fountain. general Taken From fountain.', 'K. K. Mazumdar 2nd Class After Years Service In The 3rd Class, Subject To Having 1st Class. 8 c.c.) doses Died On The 6th Day Peritonitis 1st Class. 8 c.c.) doses All Attempts At Artificial Cultivation Of Have As Yet Failed To Give public. 1st October Re-examined In July 3 c.c.) doses. two All Attempts At Artificial Cultivation Of Have As Yet Failed To Give private. 28 fatal All Attempts At Artificial Cultivation Of Have As Yet Failed To Give 1st Class. 28 fatal Casualties During The Year 1st Class.', '1st Class All Attempts At Artificial Cultivation Of Have As Yet Failed To Give 3 c.c.) doses.']","of, the, to, in, and, at, all, veterinary"
1,360,1_pargan_pies_pinna_peon,"['pargan', 'pies', 'pinna', 'peon', 'cut', 'cost', 'pie', 'peons', 'do', 'rs']","['pargan DUE TO THE FACT THAT pargan.', 'pargan Allowed To Die pargan. pargan Acted As Member Of subcutaneous. pargan Showed Binary fission Single or two parasites in a cell.', 'pargan 2s pargan.']","pargan, pies, pinna, peon, cut, cost, pie, peons"
2,286,2_departments_tb_standards_india,"['departments', 'tb', 'standards', 'india', 'sanitary', 'government', 'medical', 'of', 'and', 'the']","['A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF v - g.', 'N TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y.', 'A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y. A Y TB MEDICAL AND SANITARY DEPARTMENTS OF THE GOVERNMENT OF INDIA STANDARDS OF A Y.']","departments, tb, standards, india, sanitary, government, medical, of"
3,285,3_criminal_lunatics_lugols_tried,"['criminal', 'lunatics', 'lugols', 'tried', 'lachrama', 'asylum', 'discharged', 'admitted', 'mental', 'escaped']","['Criminal Lunatics Admitted During The Year general. Criminal Lunatics Aggregate Mortality Of general.', 'Criminal Lunatics General Appearance And Physique Of The Men Criminal Lunatics. Criminal Lunatics General Appearance And Physique Of The Men Criminal Lunatics. Criminal Lunatics Admissions-rate Per Of Strength Criminal Lunatics.', 'Criminal Lunatics Criminal Criminal Lunatics. Criminal Lunatics Criminal Criminal Lunatics.']","criminal, lunatics, lugols, tried, lachrama, asylum, discharged, admitted"
4,217,4_dispensary_abbotta_ba_me,"['dispensary', 'abbotta', 'ba', 'me', 'inspected', 'charge', 'opened', 'hospital', 'civil', 'by']","['Abbotta ba d dispensary 1st Class Vaccinators Abbotta ba d dispensary. Abbotta ba d dispensary 1st Class Vaccinators Abbotta ba d dispensary.', 'general At Abbotta ba d dispensary. general Patients At Abbotta ba d dispensary.', 'Abbotta ba d dispensary After Treatment Abbotta ba d dispensary. Abbotta ba d dispensary After Treatment Abbotta ba d dispensary.']","dispensary, abbotta, ba, me, inspected, charge, opened, hospital"
5,172,5_wool_4720_5158_shoulder,"['wool', '4720', '5158', 'shoulder', 'side', 'in', 'samples', 'the', 'bihar', 'analysis']","['disease Analysis Of Wool Samples (bihar 47.20μ in the side wool to 51.58μ in the shoulder wool. A plague hospital Analysis Of Wool Samples (bihar 47.20μ in the side wool to 51.58μ in the shoulder wool. A plague hospital Indian 47.20μ in the side wool to 51.58μ in the shoulder wool.', 'general Analysis Of Wool Samples (bihar 47.20μ in the side wool to 51.58μ in the shoulder wool. general Analysis Of Wool Samples (bihar 47.20μ in the side wool to 51.58μ in the shoulder wool. mixed hairy type Analysis Of Wool Samples (bihar blackquarter serum. 47.20μ in the side wool to 51.58μ in the shoulder wool Fibres Characteristic Of Each Parent May Be Found In Varying Proportions 47.20μ in the side wool to 51.58μ in the shoulder wool.', 'fibres Bad general. first progenies Show A Further Improvement In Fibre Characteristics general. samples Analysis Of Wool Samples (bihar 47.20μ in the side wool to 51.58μ in the shoulder wool. 47.20μ in the side wool to 51.58μ in the shoulder wool Measure On An Average From To Μ In Diameter microns. cc. sheep erythrocytes Analysis Of Wool Samples (bihar two.']","wool, 4720, 5158, shoulder, side, in, samples, the"
6,166,6_cold_bhutias_trade_come,"['cold', 'bhutias', 'trade', 'come', 'weather', 'down', 'to', 'in', 'abyssinia', 'the']","['A dengue patient After Bhutias come down to trade in the cold weather.', 'Bhutias come down to trade in the cold weather All Attempts At Artificial Cultivation Of Have As Yet Failed To Give Bhutias come down to trade in the cold weather.', 'Bhutias come down to trade in the cold weather Caused By Bhutias come down to trade in the cold weather. Bhutias come down to trade in the cold weather Caused By Bhutias come down to trade in the cold weather. Surra It Is Most Prevalent In of december.']","cold, bhutias, trade, come, weather, down, to, in"
7,144,7_generation_16th_assam_culture,"['generation', '16th', 'assam', 'culture', 'indian', 'charge', 'charges', 'das', 'patients', 'included']","['disease Indian 16th generation Assam culture. disease Indian 16th generation Assam culture. disease Indian 16th generation Assam culture.', '16th generation Assam culture Attendance d.', 'birbutia Eastern At Rs. Per Mensem 16th generation Assam culture. 16th generation Assam culture Contains 3 c.c.) doses. 16th generation Assam culture Embraces general. 16th generation Assam culture Stretches Along The Coast From Orissa to British Burma. 16th generation Assam culture Eastern At Rs. Per Mensem 16th generation Assam culture. 16th generation Assam culture Includes 4 fatal. 16th generation Assam culture Consists Of Chenab river. 16th generation Assam culture Best Yield 3 c.c.) doses.']","generation, 16th, assam, culture, indian, charge, charges, das"
8,129,8_general_excellent_absorption_includes,"['general', 'excellent', 'absorption', 'includes', 'epg', 'value', 'work', 'employment', 'after', 'good']","['general Class general.', 'general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. general After general. Avitaminosis A Has Value general. Bheesties Has Value tined grubber.', 'general At general.']","general, excellent, absorption, includes, epg, value, work, employment"
9,122,9_66101_inmates_head_per,"['66101', 'inmates', 'head', 'per', 'jail', 'located', 'central', 'ajmer', 'cholera', 'of']","['66-10-1 per head of inmates Central Jail Located In ajmer.', '66-10-1 per head of inmates Central Jail Located In Ajmer. 66-10-1 per head of inmates Central Jail Located In Ajmer.', '66-10-1 per head of inmates Central Jail Located In 66-10-1 per head of inmates. 66-10-1 per head of inmates Central Jail Located In 66-10-1 per head of inmates. 66-10-1 per head of inmates Central Jail Located In 66-10-1 per head of inmates. 66-10-1 per head of inmates Central Jail Located In 66-10-1 per head of inmates. 66-10-1 per head of inmates Central Jail Located In 66-10-1 per head of inmates. 66-10-1 per head of inmates Central Jail Located In 66-10-1 per head of inmates. cerebrospinal meningitis Central Jail Located In cerebrospinal meningitis. 66-10-1 per head of inmates Lab_value 66-10-1 per head of inmates. Do. chronic . . . . . . Diarrhœa Central Jail Located In Do. chronic . . . . . . Diarrhœa.']","66101, inmates, head, per, jail, located, central, ajmer"
